20260513T,0,1000,0,285.56,0
20260514T,0,1000,0,285.56,0
20260515T,0,1000,0,285.56,0
20260516T,0,1000,0,285.56,0
20260517T,0,1000,0,285.56,0
20260518T,0,1000,0,133.79,0
20260519T,0,1000,0,133.79,0
20260520T,0,1000,0,133.79,0
20260521T,0,1000,0,133.79,0
20260522T,0,1000,0,133.79,0
20260523T,0,1000,0,101.86,0
20260524T,0,1000,0,101.86,0
20260525T,0,1000,0,101.86,0
20260526T,0,1000,0,101.86,0
20260527T,0,1000,0,101.86,0
20260528T,0,1000,0,89.83,0
20260529T,0,1000,0,89.83,0
20260530T,0,1000,0,89.83,0
20260531T,0,1000,0,89.83,0
20260601T,0,1000,0,89.83,0
20260602T,0,1000,0,79.1,0
20260603T,0,1000,0,79.1,0
20260604T,0,1000,0,79.1,0
20260605T,0,1000,0,79.1,0
20260606T,0,1000,0,79.1,0
20260607T,0,1000,0,52.53,0
20260608T,0,1000,0,52.53,0
20260609T,0,1000,0,52.53,0
20260610T,0,1000,0,52.53,0
20260611T,0,1000,0,52.53,0
20260612T,0,1000,0,21.07,0
20260613T,0,1000,0,21.07,0
20260614T,0,1000,0,21.07,0
20260615T,0,1000,0,21.07,0
20260616T,0,1000,0,21.07,0
